ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:20663
19128808,2016-07-14 21:16:02,697A - Pineapple Incident,GNU C++,Accepted,15 ms,0 KB
19126494,2016-07-14 20:55:31,697A - Pineapple Incident,GNU C++,Wrong answer on pretest 8,15 ms,0 KB
19126195,2016-07-14 20:53:00,697A - Pineapple Incident,GNU C++,Wrong answer on pretest 1,0 ms,0 KB
19120774,2016-07-14 20:15:14,697A - Pineapple Incident,GNU C++,Wrong answer on pretest 10,15 ms,0 KB
18466108,2016-06-14 20:20:27,681A - A Good Contest,GNU C++,Accepted,15 ms,2200 KB
17970934,2016-05-17 20:28:56,489C - Given Length and Sum of Digits...,GNU C++,Wrong answer on test 3,15 ms,2000 KB
